SiO2,P2O5,ZrO2,Na2O,Al2O3,Fe2O3,CaO,MgO,K2O,B2O3,BaO,ZnO,Li2O,SrO,La2O3,TiO2,Nb2O5,PbO,Sb2O3,Bi2O3,TeO2,Se,Tg,density
0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.15,2.4800000190734863
0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.15,2.4820001125335693
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.15,2.302999973297119
0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1939999999999999,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.15,2.4170000553131104
0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.15,2.434000015258789
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.15,2.440000057220459
0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.15,2.446000099182129
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.15,2.4700000286102295
0.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.15,2.49399995803833
0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.15,2.490000009536743
0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.15,2.493000030517578
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.15,2.4800000190734863
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.15,2.4719998836517334
0.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.15,2.4679999351501465
0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.15,2.447000026702881
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.15,2.428999900817871
0.5710000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.15,2.388999938964844
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.15,2.3529999256134033
0.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.15,2.316999912261963
0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.15,2.2139999866485596
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.15,2.1600000858306885
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.15,2.461999893188477
0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.15,2.4560000896453857
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.15,2.500999927520752
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.15,2.4800000190734863
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.15,2.486000061035156
0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.15,2.484999895095825
0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.15,2.4649999141693115
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.15,2.390000104904175
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.15,2.461999893188477
0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.15,2.49399995803833
0.5720000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.15,2.484999895095825
0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.15,2.4800000190734863
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.15,2.4690001010894775
0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.15,2.421999931335449
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1669999999999999,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.15,2.38100004196167
0.7060000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.15,2.484999895095825
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.15,2.48799991607666
0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.15,2.390000104904175
0.7909999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.15,2.428999900817871
0.7730000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.15,2.440999984741211
0.7659999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.15,2.440999984741211
0.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.15,2.4600000381469727
